Curso;Unidade de execução;Turno;Professor;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Características reais da sala;Edifício;Capacidade Normal;Capacidade Exame;Nº características;Anfiteatro aulas;Apoio técnico eventos;Arq 1;Arq 2;Arq 3;Arq 4;Arq 5;Arq 6;Arq 9;BYOD (Bring Your Own Device);Focus Group;Horário sala visível portal público;Laboratório de Arquitectura de Computadores I;Laboratório de Arquitectura de Computadores II;Laboratório de Bases de Engenharia;Laboratório de Electrónica;Laboratório de Informática;Laboratório de Jornalismo;Laboratório de Redes de Computadores I;Laboratório de Redes de Computadores II;Laboratório de Telecomunicações;Sala Aulas Mestrado;Sala Aulas Mestrado Plus;Sala NEE;Sala Provas;Sala Reunião;Sala de Arquitectura;Sala de Aulas normal;videoconferencia;Átrio
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Sex;13:00:00;14:30:00;02/12/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Qua;13:00:00;14:30:00;23/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Qua;13:00:00;14:30:00;16/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Qua;13:00:00;14:30:00;09/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Qua;13:00:00;14:30:00;02/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;13:00:00;14:30:00;21/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;13:00:00;14:30:00;14/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Seg;13:00:00;14:30:00;07/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
ME;Teoria dos Jogos e dos Contratos;01789TP01;António Câmara;MEA1;30;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;AA2.25;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);38;21;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
