Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala;turno_tipo;necessita_sala;turma_ano;turma_num;turma_regime;sala_edificio;Dia_dt;num_sequencia;aula_id;Dia_iso
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;11:00:00;12:30:00;14/11/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-11-14;1;00010PL03_14112022;2022-11-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;09:30:00;11:00:00;14/11/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-11-14;2;00010PL03_14112022;2022-11-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;11:00:00;12:30:00;21/11/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-11-21;3;00010PL03_21112022;2022-11-21
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;09:30:00;11:00:00;21/11/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-11-21;4;00010PL03_21112022;2022-11-21
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;11:00:00;12:30:00;28/11/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-11-28;5;00010PL03_28112022;2022-11-28
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;09:30:00;11:00:00;28/11/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-11-28;6;00010PL03_28112022;2022-11-28
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;11:00:00;12:30:00;05/12/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-12-05;7;00010PL03_05122022;2022-12-05
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL03;METI-A1;27;Seg;09:30:00;11:00:00;05/12/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Diurno;AA;2022-12-05;8;00010PL03_05122022;2022-12-05
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL04;METI-PL-A1;31;Seg;18:00:00;19:30:00;14/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-14;1;00010PL04_14112022;2022-11-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL04;METI-PL-A1;31;Seg;19:30:00;21:00:00;14/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-14;2;00010PL04_14112022;2022-11-14
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL04;METI-PL-A1;31;Seg;18:00:00;19:30:00;21/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-21;3;00010PL04_21112022;2022-11-21
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL04;METI-PL-A1;31;Seg;19:30:00;21:00:00;21/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;1.0;Pos-Laboral;AA;2022-11-21;4;00010PL04_21112022;2022-11-21
